,standard_smiles,source,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
17,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,toxic,61.42857142857143,67.37762237762237,89.92857142857143,98.63636363636364,85.17006802721089,102.25153374233129,86.26744186046511,83.22777777777777,83.08333333333333,57.5886524822695,24.146341463414632,24.933333333333334,23.047619047619047,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,C=C1C(O)C2OC3(CCC(/C=C/C(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)O)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCC1C)OCCCC2C,toxic,47.252873563218394,49.70944309927361,49.2140221402214,48.51977401129943,48.59540636042403,52.02376599634369,46.03809523809524,50.11711711711712,50.87746170678337,50.4622641509434,45.19512195121951,44.07651715039578,46.44186046511628,53.696594427244584,53.47457627118644,52.88275862068966,54.199203187250994,52.62096774193548,41.7429718875502,47.86507936507937,42.65573770491803,52.42857142857143,43.513636363636365,46.3855421686747,55.91851851851852,68.78048780487805,82.21212121212122,71.42857142857143,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,toxic,63.75,52.50952380952381,70.41090909090909,73.96946564885496,73.12612612612612,80.29761904761905,77.10606060606061,56.192,50.57843137254902,39.22222222222222,40.91954022988506,51.4125,79.36363636363636,166.5,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CC(=O)OCC12CC(O)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,toxic,51.092592592592595,61.43558282208589,51.178137651821864,53.14946619217082,79.13793103448276,87.34905660377359,71.77300613496932,73.25,114.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,toxic,191.65217391304347,90.48484848484848,153.31506849315068,145.70212765957447,162.05,131.625,128.07142857142858,119.11764705882354,112.94444444444444,95.16666666666667,66.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,toxic,65.17204301075269,51.857142857142854,61.943231441048034,54.69230769230769,59.67857142857143,74.42201834862385,86.66153846153846,77.44897959183673,71.61904761904762,82.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,C=C(C)C1CCC(C)(O)C2Oc3cc(CCCCC)cc(O)c3C12,toxic,68.32380952380953,59.590062111801245,66.15714285714286,71.23232323232324,79.40449438202248,80.6474358974359,55.48571428571429,52.26086956521739,41.34444444444444,40.27160493827161,44.09090909090909,31.0625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,toxic,102.22222222222223,79.6917808219178,98.10734463276836,87.86666666666666,93.625,78.92613636363636,82.75352112676056,86.07692307692308,80.35616438356165,108.875,116.60317460317461,94.6774193548387,77.0,48.54545454545455,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CC1=CCC(C(C)C)=CC1,toxic,72.0,92.41935483870968,56.475,42.27272727272727,51.833333333333336,52.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)N=C(O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,toxic,80.58333333333333,74.25568181818181,86.38074398249454,79.65392354124748,79.30091743119266,86.4106463878327,91.92592592592592,90.54629629629629,94.09821428571429,90.04404567699837,84.27507598784194,89.52854812398043,91.14176245210729,73.89573459715639,56.58282208588957,51.43359375,53.09905660377358,54.69101123595506,47.584210526315786,37.83030303030303,40.376068376068375,69.10169491525424,60.093023255813954,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,toxic,88.69736842105263,91.27272727272727,99.20472440944881,102.5,103.02564102564102,91.31111111111112,120.12903225806451,116.77027027027027,96.38333333333334,80.0,37.1578947368421,92.66666666666667,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Brc1cc(Br)c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1,toxic,209.55555555555554,109.73076923076923,153.79310344827587,131.73684210526315,150.61111111111111,135.5,136.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
