,smiles,source,MW,standard_smiles
12,OC(=O)CC1=CC=C(O)C=C1,Food,152.1473,O=C(O)Cc1ccc(O)cc1
19,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,Food,244.311,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
30,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,Food,176.1241,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
32,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Food,342.2965,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
38,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,Food,342.2965,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
64,C[N+](C)(C)CCO,Food,104.1708,C[N+](C)(C)CCO
69,CCO,Food,46.0684,CCO
75,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Food,441.3975,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
102,N[C@@H](CC1=CC=CC=C1)C(O)=O,Food,165.1891,N[C@@H](Cc1ccccc1)C(=O)O
107,C[C@@H](O)[C@H](N)C(O)=O,Food,119.1192,C[C@@H](O)[C@H](N)C(=O)O
110,CC[C@H](C)[C@H](N)C(O)=O,Food,131.1729,CC[C@H](C)[C@H](N)C(=O)O
114,N[C@@H](CC1=CN=CN1)C(O)=O,Food,155.1546,N[C@@H](Cc1cnc[nH]1)C(=O)O
116,NCCCC[C@H](N)C(O)=O,Food,146.1876,NCCCC[C@H](N)C(=O)O
134,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Food,219.235,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
151,OC1=CC=CC=C1,Food,94.1112,Oc1ccccc1
156,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Food,265.355,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
157,CCC(O)=O,Food,74.0785,CCC(=O)O
163,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Food,376.3639,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
175,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Food,342.2965,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
271,OC(=O)CCC1=CC(O)=CC=C1,Biological,166.1739,O=C(O)CCc1cccc(O)c1
295,CC(C)[C@@](O)(CC(O)=O)C(O)=O,Food,176.1672,CC(C)[C@@](O)(CC(=O)O)C(=O)O
315,OC(=O)CCC1=CC(O)=C(O)C=C1,Food,182.1733,O=C(O)CCc1ccc(O)c(O)c1
318,CC(O)(CC(O)=O)C(O)=O,Food,148.114,CC(O)(CC(=O)O)C(=O)O
330,OC(=O)CC1=CC(O)=CC=C1,Biological,152.1473,O=C(O)Cc1cccc(O)c1
347,[Ca++],Food,40.078,[Ca+2]
362,COC1=C(O)C=CC(=C1)C(O)=O,Food,168.148,COc1cc(C(=O)O)ccc1O
416,[Mg++],Food,24.305,[Mg+2]
450,[K+],Exogenous,39.0983,[K+]
451,[Na+],Food,22.9898,[Na+]
459,[Cr+3],Food,51.9961,[Cr+3]
465,[Co++],Food,58.9332,[Co+2]
506,[Cu++],Food,63.546,[Cu+2]
524,II,Food,253.8089,II
532,CC(C)C[C@H](N)C(O)=O,Food,131.1729,CC(C)C[C@H](N)C(=O)O
536,[Fe++],Food,55.845,[Fe+2]
548,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Food,280.2765,N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
663,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,Food,414.718,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
684,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C,Food,384.6377,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
689,CC(C)[C@H](N)C(O)=O,Food,117.1463,CC(C)[C@H](N)C(=O)O
704,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C,Food,396.6484,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
710,CN(C)C,Food,59.1103,CN(C)C
724,C1=CC=NC=C1,Food,79.0999,c1ccncc1
726,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Food,204.2252,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
733,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@@H](CC)C(C)C,Food,412.702,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
746,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,Food,194.184,COc1cc(/C=C/C(=O)O)ccc1O
747,COC1=C(O)C=C(\C=C\C(O)=O)C=C1,Food,194.184,COc1ccc(/C=C/C(=O)O)cc1O
748,O[C@H]([C@@H](O)C(O)=O)C(O)=O,Food,150.0868,O=C(O)[C@H](O)[C@@H](O)C(=O)O
860,NC1=CC=CC=C1C(O)=O,Food,137.136,Nc1ccccc1C(=O)O
930,O=C1OC2=CC=CC=C2C=C1,Food,146.145,O=c1ccc2ccccc2o1
946,[Al],Food,26.9815,[Al]
987,[Mo++],Food,95.94,[Mo+2]
996,[P],Food,30.9738,[P]
1005,[Rb+],Food,85.4678,[Rb+]
1009,[Mn++],Food,54.938,[Mn+2]
1023,[Se++],Food,78.96,[Se+2]
1040,N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O,Food,190.1971,N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O
1041,N#N,Food,28.0134,N#N
1055,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,Food,278.4296,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
1120,[GaH3],Exogenous,72.747,[GaH3]
1131,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=C(C)C(C)=C2O1,Food,416.6795,Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2
1134,O[C@@H]1C=C[C@@H](NCC2=CNC3=C2C(=O)NC(=N)N3)[C@@H]1O,Food,277.2792,N=c1[nH]c(=O)c2c(CN[C@@H]3C=C[C@@H](O)[C@H]3O)c[nH]c2[nH]1
1141,C1=CC=CC=C1,Food,78.1118,c1ccccc1
1145,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,Food,239.741,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
1155,N1C=CN=C1,Food,68.0773,c1c[nH]cn1
1207,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,Environmental,454.6016,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1210,[Te+4],Food,127.6,[Te+4]
1212,OC(=O)C1=CC(O)=C(O)C=C1,Food,154.121,O=C(O)c1ccc(O)c(O)c1
1224,COC1=CC(C(O)=O)=C(O)C=C1,Food,168.1467,COc1ccc(O)c(C(=O)O)c1
1225,OC(=O)C1=CC=CC=C1,Food,122.123,O=C(O)c1ccccc1
1226,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,Food,290.2681,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
1231,CCCC(CCC)C(O)=O,Food,144.2114,CCCC(CCC)C(=O)O
1232,CC(C)C1=C(O)C=C(C)C=C1,Food,150.221,Cc1ccc(C(C)C)c(O)c1
1233,CC(=O)OC1=CC=CC=C1C(O)=O,Food,180.1574,CC(=O)Oc1ccccc1C(=O)O
1234,C[C@@H](O)CO,Food,76.0944,C[C@@H](O)CO
1238,CN(C)C=O,Food,73.0938,CN(C)C=O
1243,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,Food,430.7061,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
1244,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,Food,294.3031,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
1245,OC(=O)C1=C(O)C=CC=C1,Food,138.122,O=C(O)c1ccccc1O
1250,NCCCCCC(O)=O,Food,131.1729,NCCCCCC(=O)O
1258,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,Food,780.9385,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
1260,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(OC)C=C2,Environmental,271.3972,COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3
1261,CN(C)C(=N)NC(N)=N,Environmental,129.1636,CN(C)C(=N)NC(=N)N
1264,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,Environmental,266.3361,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
1265,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,Environmental,206.2808,CC(C)Cc1ccc(C(C)C(=O)O)cc1
1268,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,Environmental,297.739,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
1275,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,Biological,308.3279,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
1279,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Food,344.4877,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
1292,[SnH4+4],Food,122.74,[SnH4+4]
1296,[Ti+4],Food,47.867,[Ti+4]
1311,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,Food,372.5441,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
1315,[W+4],Food,183.84,[W+4]
1321,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,Food,368.6367,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
1334,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CO,Food,296.539,C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
1353,OC(=O)CCCCC1=CC=CC=C1,Food,178.2277,O=C(O)CCCCc1ccccc1
1360,CC1=CC=CC=C1O,Food,108.1378,Cc1ccccc1O
1371,CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O,Food,338.5677,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O
1381,COC1=CC(=CC(OC)=C1O)C(O)=O,Food,198.174,COc1cc(C(=O)O)cc(OC)c1O
1397,OC(=O)C1=CC=CC=C1C(O)=O,Food,166.1308,O=C(O)c1ccccc1C(=O)O
1398,CSC[C@@H](N)C(O)=O,Food,135.18,CSC[C@@H](N)C(=O)O
1400,O,Food,18.0153,O
1402,OC1=CC=C(\C=C\C(=O)CC(=O)\C=C\C2=CC=C(O)C=C2)C=C1,Food,308.3279,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1
1406,CC(C)C1=CC2=C(C(O)=C1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O,Food,330.424,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O
1409,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,Food,270.2369,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
1425,CS(C)=O,Food,78.133,CS(C)=O
1440,OC1CCC(=O)OCC1O,Biological,146.1412,O=C1CCC(O)C(O)CO1
1442,[Si+4],Food,28.0855,[Si+4]
1467,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)[C@@H](O)CC1(C)C,Food,596.852,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O
1474,CCCCCCCCCCCCCCCCCCCC(O)=O,Food,312.5304,CCCCCCCCCCCCCCCCCCCC(=O)O
1475,[H]C(=O)C1=CC=C(C=C1)C(C)C,Food,148.205,CC(C)c1ccc(C=O)cc1
1484,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,Food,305.4119,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
1501,CCCCCCCCCCCCCCCCC(O)=O,Food,270.4507,CCCCCCCCCCCCCCCCC(=O)O
1508,C\C(\C=C\C=C(/C)\C=C\C1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,Food,552.872,CC1=C[C@H](O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
1509,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,Food,368.3799,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
1540,C\C(CC\C=C(/C)CC(O)\C=C(/C)C(O)=O)=C/CCC(C)(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C=C,Food,660.7469,C=CC(C)(CC/C=C(\C)CC/C=C(\C)CC(O)/C=C(\C)C(=O)O)OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
1543,OC1=CC2=C(C=C1)C1=C(O2)C2=C(OC1=O)C=C(O)C=C2,Food,268.224,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
1549,CC1=CC(=O)C2=C(O)C([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C(O)C=C2O1,Food,354.3087,Cc1cc(=O)c2c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1
1551,COC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,Food,284.267,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
1561,C[C@@H]1[C@H](O)C[C@@H](O)C2=CC[C@H](C[C@]12C)C(C)=C,Food,236.355,C=C(C)[C@@H]1CC=C2[C@H](O)C[C@@H](O)[C@@H](C)[C@@]2(C)C1
1562,OC[C@H]1OC(OC(=O)C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Food,652.6834,CC(/C=C/C=C(\C)C(=O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
1566,CC(C)C1=CC2=C(C(O)=C1O)[C@]1(CCCC(C)(C)C1CC2)C(O)=O,Food,332.4339,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)C1CC2
1567,OC(=O)C#CC1=CC=CC=C1,Biological,146.1427,O=C(O)C#Cc1ccccc1
1580,OC(=O)[C@H](OC(=O)\C=C\C1=CC(O)=C(O)C=C1)[C@@H](OC(=O)\C=C\C1=CC(O)=C(O)C=C1)C(O)=O,Food,474.3711,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O
1581,C\C(\C=C\C=C(/C)C(=O)OC1OC(CO)C(O)C(O)C1O)=C/C=C/C=C(\C)/C=C/C=C(\C)C(=O)OC1O[C@@H](COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Food,814.824,CC(/C=C/C=C(\C)C(=O)OC1OC(CO)C(O)C(O)C1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)OC1O[C@@H](COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
1587,[B+3],Food,10.811,[B+3]
1588,[Be++],Food,9.0122,[Be+2]
1597,C\C(\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C/C=C/C=C(\C)/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,Food,976.972,CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
1608,OC1=CC=C(O)C=C1,Food,110.1106,Oc1ccc(O)cc1
1613,[Ni++],Food,58.6934,[Ni+2]
1614,OC(=O)C1=CC(O)=CC=C1,Food,138.122,O=C(O)c1cccc(O)c1
1624,[Ge+4],Food,72.64,[Ge+4]
1625,[V+3],Food,50.9415,[V+3]
1649,[H][C@@]1(O)COC([H])(O)[C@]1([H])O,Food,120.1039,OC1OC[C@@H](O)[C@H]1O
1650,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,Food,316.2623,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O
1653,[Ag+],Food,107.8682,[Ag+]
1656,OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,Food,272.2528,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
1661,N[C@@H](CCONC(N)=N)C(O)=O,Food,176.1738,N=C(N)NOCC[C@H](N)C(=O)O
1662,OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1,Food,287.2442,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1
1667,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],Food,308.4141,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC
1673,CC(=O)OC1CC(C)(C)C(=C=C\C(C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1,Food,658.9063,CC(=O)OC1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1
1676,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,Food,318.2351,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
1680,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,Food,290.2681,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
1681,[H][C@@]1(C2=C(C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC=C2)C(=O)C2=C1C=C(C=C2O)C(O)=O)[C@]1([H])C2=C(C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC=C2)C(=O)C2=C1C=C(C=C2O)C(O)=O,Food,862.7391,O=C(O)c1cc(O)c2c(c1)[C@@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O
1683,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,Food,568.886,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1
1694,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,Food,337.4553,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
1697,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C,Food,400.691,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
1698,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\C=C/C=C(\C)/C=C/C=C(\C)CC\C=C(/C)CCC=C(C)C,Food,542.9203,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C=C\C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
1705,[H][C@@]1(C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(C=C2O)C(O)=O)[C@]1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(C=C2O)C(O)=O,Biological,538.4579,O=C(O)c1cc(O)c2c(c1)[C@H]([C@H]1c3cccc(O)c3C(=O)c3c(O)cc(C(=O)O)cc31)c1cccc(O)c1C2=O
1706,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2,Food,302.194,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
1710,OC[C@H](O)[C@@H](O)[C@H](O)CO,Food,152.1458,OC[C@@H](O)[C@H](O)[C@@H](O)CO
1713,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,Food,580.5346,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
1714,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,Food,344.3124,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO
1716,COC1=C(O)C=C(C=C1)C1OC2=CC(O)=CC(O)=C2C(=O)C1O,Food,318.2782,COc1ccc(C2Oc3cc(O)cc(O)c3C(=O)C2O)cc1O
1728,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C,Food,536.888,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C
1731,[H]C(=[C@@]=C1C(C)(C)C[C@H](O)C[C@@]1(C)O)C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C,Food,600.8702,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=C=C1C(C)(C)C[C@H](O)C[C@@]1(C)O)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
1732,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)[C@]1(C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,Food,722.9112,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/[C@@H]1[C@@H](COP(=O)(O)OP(=O)(O)O)[C@]1(C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
1738,C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C([O-])=O,Food,229.299,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)[O-]
1741,O=C(\C=C\C1=CC=CC=C1)C1=CC=CC=C1,Biological,208.2552,O=C(/C=C/c1ccccc1)c1ccccc1
1745,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,Food,192.1666,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
