,smiles,source,MW,standard_smiles
20872,CC1OC(OCC2OC(OC3=C(OC4=CC=CC=C4C3=O)C3=CC(O)=C(O)C=C3)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Food,724.6599,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4ccccc4c3=O)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
20873,COC1=CC(=CC(O)=C1OC)C1CCC2=C(O1)C(O)=C(OC)C=C2,Food,332.3478,COc1ccc2c(c1O)OC(c1cc(O)c(OC)c(OC)c1)CC2
20874,COC1=CC(=CC(OC)=C1OC)C1CCC2=C(O1)C(O)=C(OC)C=C2,Food,346.3744,COc1ccc2c(c1O)OC(c1cc(OC)c(OC)c(OC)c1)CC2
20875,COC1=CC(=CC(O)=C1OC)C1CCC2=C(O1)C(OC)=C(OC)C=C2,Food,346.3744,COc1cc(C2CCc3ccc(OC)c(OC)c3O2)cc(O)c1OC
20876,COC1=CC(=CC(OC)=C1OC)C1CCC2=C(O1)C(OC)=C(OC)C=C2,Food,360.401,COc1cc(C2CCc3ccc(OC)c(OC)c3O2)cc(OC)c1OC
20877,CC(C)CC\C(C)=C/CC1=C2OC(CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,Food,396.4761,C/C(=C/Cc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O)CCC(C)C
20878,CC(C)(O)C1CC2=C(O1)C=C1OC(=CC1=C2)C1=CC(O)=CC(O)=C1,Food,326.3432,CC(C)(O)C1Cc2cc3cc(-c4cc(O)cc(O)c4)oc3cc2O1
20879,OC1=CC=C(C=C1)C1(O)CC(=O)C2=C(O)C=C(O)C=C2O1,Food,288.2522,O=C1CC(O)(c2ccc(O)cc2)Oc2cc(O)cc(O)c21
20880,CC1(C)OC2=C(CC1O)C=C1C=C(OC1=C2)C1=CC(O)=CC(O)=C1,Food,326.3432,CC1(C)Oc2cc3oc(-c4cc(O)cc(O)c4)cc3cc2CC1O
20881,COC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC(O)=CC(O)=C1,Food,302.2788,COc1cc(O)c2c(c1)OC(c1cc(O)cc(O)c1)CC2=O
20882,CC(C)=CCC\C(C)=C/CC1=C(C=CC(O)=C1O)C1CC(=O)C2=C(O1)C=C(O)C=C2,Food,408.4868,CC(C)=CCC/C(C)=C\Cc1c(C2CC(=O)c3ccc(O)cc3O2)ccc(O)c1O
20883,COC1=CC(=CC(O)=C1OC)C1CCC2=C(O1)C(O)=C(OC)C=C2C1=CC(OC)=C(O)C2=C1CCC(O2)C1=CC(O)=C(OC)C(OC)=C1,Food,662.6797,COc1cc(-c2cc(OC)c(O)c3c2CCC(c2cc(O)c(OC)c(OC)c2)O3)c2c(c1O)OC(c1cc(O)c(OC)c(OC)c1)CC2
20884,COC1=CC(=CC(O)=C1OC)C1CCC2=C(O1)C(O)=C(OC)C=C2C1=CC(OC)=C(O)C2=C1CCC(O2)C1=CC(OC)=C(OC)C(OC)=C1,Food,676.7063,COc1cc(-c2cc(OC)c(O)c3c2CCC(c2cc(OC)c(OC)c(OC)c2)O3)c2c(c1O)OC(c1cc(O)c(OC)c(OC)c1)CC2
20885,COC1=CC=C(C=C1)C1OC2=C(C(=O)C1O)C(O)=C(OC)C(O)=C2,Food,332.3047,COc1ccc(C2Oc3cc(O)c(OC)c(O)c3C(=O)C2O)cc1
20886,COC1=CC(=CC(O)=C1OC)C1=CC(=O)C2=C(O1)C(O)=C(OC)C=C2,Food,344.3154,COc1cc(-c2cc(=O)c3ccc(OC)c(O)c3o2)cc(O)c1OC
20887,COC1=CC(=CC(O)=C1OC)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C=C2,Food,358.342,COc1cc(-c2cc(=O)c3ccc(OC)c(OC)c3o2)cc(O)c1OC
20888,COC1=CC(=CC(OC)=C1OC)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C=C2,Food,372.3686,COc1cc(-c2cc(=O)c3ccc(OC)c(OC)c3o2)cc(OC)c1OC
20889,COC1=C(O)C=CC(=C1)C(O)C(CO)OC1=C(O)C=C(CCCO)C=C1,Food,364.3897,COc1cc(C(O)C(CO)Oc2ccc(CCCO)cc2O)ccc1O
20890,COC1=C(OC2OCC(O)C(O)C2O)C=CC(=C1)C(O)C(CO)OC1=C(O)C=C(CCCO)C=C1,Food,496.5043,COc1cc(C(O)C(CO)Oc2ccc(CCCO)cc2O)ccc1OC1OCC(O)C(O)C1O
20891,CC1=CC(=O)C2=C(O1)C=C(O)C=C2C,Food,190.1953,Cc1cc(=O)c2c(C)cc(O)cc2o1
20892,CCCCCOC=O,Food,116.1583,CCCCCOC=O
20894,CCCCCC(O)CCCC(O)=O,Food,188.264,CCCCCC(O)CCCC(=O)O
20896,CC1SCC(C)=N1,Food,115.197,CC1=NC(C)SC1
20897,CC(C)C1NC(C)SC(C)S1,Food,191.357,CC1NC(C(C)C)SC(C)S1
20898,CC(C)C1SC(C)NC(C)S1,Food,191.357,CC1NC(C)SC(C(C)C)S1
20899,CC(C)CC1NC(C)SC(C)S1,Food,205.384,CC(C)CC1NC(C)SC(C)S1
20900,CC(C)CC1SC(C)NC(C)S1,Food,205.384,CC(C)CC1SC(C)NC(C)S1
20901,CCC(C)C1NC(C)SC(C)S1,Food,205.384,CCC(C)C1NC(C)SC(C)S1
20902,CCC(C)C1SC(C)NC(C)S1,Food,205.384,CCC(C)C1SC(C)NC(C)S1
20905,COC1=NC=CN=C1C(C)C,Food,152.1937,COc1nccnc1C(C)C
20906,CC1OC(OC2C(O)C(OCCC3=CC(O)=C(O)C=C3)OC(CO)C2OC(=O)\C=C/C2=CC(O)=C(O)C=C2)C(OC2OCC(O)C(O)C2O)C(O)C1O,Food,756.7018,CC1OC(OC2C(O)C(OCCc3ccc(O)c(O)c3)OC(CO)C2OC(=O)/C=C\c2ccc(O)c(O)c2)C(OC2OCC(O)C(O)C2O)C(O)C1O
20907,COC1=C(O)C=CC(\C=C/C(=O)OC2C(CO)OC(OCCC3=CC(O)=C(O)C=C3)C(O)C2OC2OC(C)C(O)C(O)C2OC2OCC(O)C(O)C2O)=C1,Food,770.7283,COc1cc(/C=C\C(=O)OC2C(CO)OC(OCCc3ccc(O)c(O)c3)C(O)C2OC2OC(C)C(O)C(O)C2OC2OCC(O)C(O)C2O)ccc1O
20908,COC1=C(O)C=C(CCOC2OC(CO)C(OC(=O)\C=C/C3=CC(OC)=C(O)C=C3)C(OC3OC(C)C(O)C(O)C3OC3OCC(O)C(O)C3O)C2O)C=C1,Food,784.7549,COc1ccc(CCOC2OC(CO)C(OC(=O)/C=C\c3ccc(O)c(OC)c3)C(OC3OC(C)C(O)C(O)C3OC3OCC(O)C(O)C3O)C2O)cc1O
20909,COC1=C(O)C(O)=C2C(=O)C(O)=C(OC2=C1)C1=CC(OC)=C(OC)C=C1,Food,360.3148,COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2O)cc1OC
20910,C\C=C\S,Food,74.145,C/C=C/S
20911,CCC=S=O,Food,90.144,CCC=S=O
20912,CC\C(C)=C\S,Food,102.198,CC/C(C)=C/S
20913,SCCCCCCCCS,Food,178.359,SCCCCCCCCS
20914,CC(C)=CCCC1(C)OC2=C(C=C1)C1=C(C(O)=C2)C(=O)C2=C(O1)C(O)=CC=C2,Food,378.4178,CC(C)=CCCC1(C)C=Cc2c(cc(O)c3c(=O)c4cccc(O)c4oc23)O1
20915,CC(C)=CCC\C(C)=C/CC1=C2OC3=C(C=CC=C3O)C(=O)C2=C(O)C=C1O,Food,380.4337,CC(C)=CCC/C(C)=C\Cc1c(O)cc(O)c2c(=O)c3cccc(O)c3oc12
20916,COC1=CC(CCCO)=CC=C1OC(CO)CO,Food,256.2949,COc1cc(CCCO)ccc1OC(CO)CO
20917,COC1=C(OC(CO)COC2OC(CO)C(O)C(O)C2O)C=CC(CCCO)=C1,Food,418.4355,COc1cc(CCCO)ccc1OC(CO)COC1OC(CO)C(O)C(O)C1O
20918,CC(C)=CCC1=CC(O)=C2C(=O)C3=C(OC2=C1O)C(O)=CC=C3,Food,312.3166,CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O
20919,COC1=C(O)C=CC(\C=C/C(=O)CC(=O)CC(O)C2=CC(OC)=C(O)C=C2)=C1,Food,386.3952,COc1cc(/C=C\C(=O)CC(=O)CC(O)c2ccc(O)c(OC)c2)ccc1O
