,standard_smiles,source,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
14,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,approved,97.1830985915493,65.04545454545455,84.82835820895522,78.4090909090909,95.93406593406593,97.32558139534883,86.40229885057471,94.02702702702703,92.60377358490567,126.48387096774194,217.83333333333334,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,approved,98.82278481012658,94.05357142857143,92.38518518518518,94.10714285714286,103.92929292929293,93.14423076923077,89.89010989010988,75.57142857142857,67.91228070175438,88.8529411764706,61.64705882352941,193.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,approved,87.61363636363636,79.34166666666667,79.75739644970415,71.61635220125787,66.07534246575342,89.22935779816514,61.35616438356164,74.74626865671642,86.13186813186813,88.42105263157895,60.853658536585364,74.50549450549451,80.0909090909091,84.5,90.9746835443038,52.28699551569507,73.3030303030303,84.8360655737705,86.01538461538462,49.75268817204301,62.34615384615385,87.37864077669903,61.7037037037037,19.02008032128514,41.97142857142857,58.64705882352941,81.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,approved,124.18978102189782,99.35897435897436,121.98283261802575,120.34579439252336,112.77339901477832,125.16042780748663,117.75490196078431,102.77777777777777,104.12234042553192,103.52298850574712,91.15,98.1103448275862,102.22695035460993,98.42647058823529,94.89189189189189,125.23188405797102,129.83636363636364,100.75,86.58928571428571,62.44615384615385,43.829268292682926,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,approved,109.19587628865979,81.22302158273381,102.81871345029239,92.64968152866243,109.25925925925925,95.20930232558139,82.6625,84.74285714285715,99.77464788732394,96.6774193548387,95.12727272727273,97.66037735849056,87.47826086956522,74.46153846153847,60.5,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CCOC(=O)c1ccc(O)cc1,approved,130.28571428571428,81.61363636363636,141.27272727272728,139.61290322580646,104.72,78.55555555555556,64.4375,65.5,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,approved,185.84313725490196,120.29166666666667,155.98809523809524,146.4,155.08510638297872,139.5,113.17073170731707,115.45,106.07142857142857,91.0,81.11111111111111,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,approved,124.33,77.71851851851852,102.97005988023952,96.27672955974843,103.08994708994709,97.43203883495146,89.14367816091954,83.40869565217392,84.16883116883118,85.04597701149426,91.49450549450549,82.88297872340425,59.0126582278481,56.8125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,approved,143.8735632183908,109.99115044247787,130.0441176470588,118.29133858267717,114.984375,114.01652892561984,115.52212389380531,113.48314606741573,115.46987951807229,106.26582278481013,121.54237288135593,127.5925925925926,136.51724137931035,124.0925925925926,104.23913043478261,102.91176470588235,84.47826086956522,29.333333333333332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,approved,160.42253521126761,115.55208333333333,142.69421487603304,134.97087378640776,139.73,156.08602150537635,134.95049504950495,110.7764705882353,165.36666666666667,144.6764705882353,106.0,221.8181818181818,428.1333333333333,544.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
