,test_acc,test_ba,test_f1,test_auc,test_mcc,test_sn,test_sp
gapen_all,0.8480040941658137,0.782390451629681,0.6896551724137931,0.8587201207090847,0.5922062533129218,0.64453125,0.920249653259362
descri,0.9032753326509724,0.8677049020457698,0.8111888111888113,0.9208889563106797,0.7465755865207352,0.79296875,0.9424410540915396
gapen_all+descri,0.8935516888433982,0.8460011052357836,0.786008230452675,0.9121811611477115,0.717250529996603,0.74609375,0.9459084604715673
