,test_acc,test_ba,test_f1,test_auc,test_mcc,test_sn,test_sp
gapen_all,0.8505629477993859,0.8238029321255201,0.7291280148423005,0.9042508235090152,0.627805960689029,0.767578125,0.8800277392510403
descri,0.901740020470829,0.8950066639216366,0.8244972577696528,0.9524836652652565,0.7596498925476958,0.880859375,0.9091539528432733
gapen_all+descri,0.8930399181166837,0.8790349232836339,0.8063021316033364,0.9474369636355755,0.7345089176709954,0.849609375,0.9084604715672677
