,test_acc,test_ba,test_f1,test_auc,test_mcc,test_sn,test_sp
gapen_all,0.8833162743091095,0.8422154017857143,0.7724550898203594,0.934171425320735,0.6943502233235851,0.755859375,0.9285714285714286
descri,0.9176049129989765,0.8963082957697642,0.8441432720232332,0.9631283319608184,0.7882043236695124,0.8515625,0.9410540915395285
