,feature_num,val_ba
0,9,0.8258904976396086
1,14,0.8462477398963053
2,19,0.8657323081898467
3,24,0.8726328010536015
4,29,0.8772683946413441
5,34,0.8801366690857776
6,39,0.886537165910102
7,44,0.8860984466921753
8,49,0.8891958334210944
9,54,0.88652732587652
10,59,0.8907600301980484
11,64,0.8863236426356991
12,69,0.8858464229900178
13,74,0.8900288440632448
14,79,0.88813502070984
15,84,0.8940096582544182
16,89,0.8887477918927603
17,94,0.8905242113369349
18,99,0.8919011914158504
19,104,0.8892828934154859
20,109,0.8941597480668897
21,114,0.8913395169180388
22,119,0.8901513838698719
23,124,0.8940017590008266
24,129,0.8913736571999816
25,134,0.890854097393917
26,139,0.8893341438721141
27,144,0.8925698738260597
28,149,0.8904133636919086
29,154,0.8923973804966586
30,159,0.8898475545169218
31,164,0.8922793462370521
32,169,0.8917506945004321
33,174,0.889877294960856
34,179,0.8930730701083449
35,184,0.8901380771947135
36,189,0.8883251404849798
37,194,0.8908720996207169
38,199,0.887537114837671
39,204,0.8936588668935347
