,feature_num,val_ba
0,10,0.8150562485195308
1,15,0.8216755666574855
2,20,0.8252129340741703
3,25,0.8245024716089577
4,30,0.8282941778367308
5,35,0.8295526776299822
6,40,0.8273241960596206
7,45,0.8331618654013668
8,50,0.8348721592557306
9,55,0.8344545757215578
10,60,0.8313168682275529
11,65,0.8306616016606092
12,70,0.8273009756467887
13,75,0.831781527848982
14,80,0.8302092800538912
15,85,0.8273566976385428
16,90,0.8318832786522371
17,95,0.83000629962965
18,100,0.8299322846086786
19,105,0.8310274921711915
20,110,0.8327904560799041
21,115,0.8343996003807097
22,120,0.8311157157418675
23,125,0.828611542792571
24,130,0.8276894199867249
25,135,0.8274265481125734
26,140,0.8277940773261767
27,145,0.8302002243564376
28,150,0.8289476531670223
29,155,0.828891295913676
30,160,0.8247097718037797
31,165,0.8279996602026702
32,170,0.8271411224090685
33,175,0.8265145184575042
34,180,0.8302202013751228
35,185,0.8276339185523917
36,190,0.824287045239787
37,195,0.8290887624382524
38,200,0.8267211471576321
39,205,0.8283590646940452
40,210,0.8295779805506853
41,215,0.8268403804575387
42,220,0.8248022803640552
43,225,0.8301603447061933
