,feature_num,val_ba
0,10,0.8300017128893596
1,15,0.8337915783658524
2,20,0.8366875482173388
3,25,0.8370613066596269
4,30,0.833549758434699
5,35,0.8363542620904489
6,40,0.833731642867383
7,45,0.8336995873145184
8,50,0.8276636769344989
9,55,0.832169269117769
10,60,0.832611830758333
11,65,0.8335048143699424
12,70,0.8329428392472821
13,75,0.836736925917766
14,80,0.8330396286550281
15,85,0.8321599211657775
16,90,0.8333317998582721
17,95,0.833276669293784
18,100,0.8341823632420702
19,105,0.8377426518988589
20,110,0.834861625973431
21,115,0.833994849378278
22,120,0.8331601283359895
23,125,0.8329332560042226
24,130,0.8354035092289973
25,135,0.8305723827642462
26,140,0.8309451350750969
27,145,0.8320015102631203
28,150,0.8337340671444204
29,155,0.8369017405509961
30,160,0.8358494951289321
31,165,0.834475050716368
32,170,0.834828001962542
33,175,0.8337996617295305
34,180,0.8336163576991258
35,185,0.8350046745725305
36,190,0.8328912867136845
37,195,0.8333184131156856
38,200,0.8321075906593878
39,205,0.8327870002440779
40,210,0.8301030310502707
41,215,0.8329829330916108
42,220,0.8310624275950133
43,225,0.8310678747087767
