,test_acc,test_ba,test_f1,test_auc,test_mcc,test_sn,test_sp
gapen_all,0.8787103377686797,0.8453929546636616,0.7701260911736177,0.9342377936459778,0.6877830227010954,0.775390625,0.9153952843273232
descri,0.9145342886386899,0.8980067831137309,0.8411037107516651,0.9652575361910543,0.7831870134229926,0.86328125,0.9327323162274619
