,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda
gapen_all,320.0,0.04269326560878588,6.066694215329438,0.7000000000000001,0.9,2.5
descri,480.0,0.09034690531177264,7.115352083568158,0.9,0.8,2.5
gapen_all+descri,256.0,0.16558076062084082,4.308250053598344,0.6000000000000001,0.8,0.5
