,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda
gapen_all,192.0,0.06457393225612668,7.353722798350025,0.9,0.7000000000000001,1.5
descri,480.0,0.024850563364371633,7.985937206489077,1.0,0.6000000000000001,1.5
